id,title,summary,published,url,created_at
169463,The new wave of India's female Para-athletes forcing a shift in perspective,A new wave of Indian female Para-athletes are enjoying international success and forcing a change in attitudes in their home country.,2022-03-01 00:01:31 UTC,https://www.bbc.co.uk/sport/disability-sport/60508602?at_medium=RSS&at_campaign=KARANGA,2022-03-01 01:00:08 UTC
169464,The whistleblowing bankers who were sent to jail,"Traders who blew the whistle on fraud were jailed, but no senior figure was prosecuted.",2022-03-01 00:03:24 UTC,https://www.bbc.co.uk/news/business-60561679?at_medium=RSS&at_campaign=KARANGA,2022-03-01 01:00:08 UTC
169455,Highest rail fare rise in nine years takes effect,"Travellers in England and Wales will be charged up to 3.8% more, adding to the cost of living.",2022-03-01 00:06:21 UTC,https://www.bbc.co.uk/news/business-60559514?at_medium=RSS&at_campaign=KARANGA,2022-03-01 01:00:07 UTC
169462,Jackie Weaver and the new era for council meetings,Councils are debating whether to spend thousands of pounds to continue live steaming their meetings.,2022-03-01 00:07:42 UTC,https://www.bbc.co.uk/news/business-60374800?at_medium=RSS&at_campaign=KARANGA,2022-03-01 01:00:08 UTC
169456,Ros Atkins on... Russia’s nuclear threat,Ros Atkins looks at the history of nuclear tensions and deals between the US and Russia.,2022-03-01 00:08:38 UTC,https://www.bbc.co.uk/news/world-60565970?at_medium=RSS&at_campaign=KARANGA,2022-03-01 01:00:07 UTC
169457,The Papers: 'Putin's inhumanity' as civilians in Ukraine killed,"The papers focus on the human impact of the invasion of Ukraine, as dozens are killed in missile strikes.",2022-03-01 00:31:57 UTC,https://www.bbc.co.uk/news/blogs-the-papers-60565700?at_medium=RSS&at_campaign=KARANGA,2022-03-01 01:00:07 UTC
169460,Denzel Washington: I hadn't read or seen Macbeth,The Oscar-nominated star on his dark film adaptation and why there's no ad-libbing with Shakespeare.,2022-03-01 00:49:00 UTC,https://www.bbc.co.uk/news/entertainment-arts-60476674?at_medium=RSS&at_campaign=KARANGA,2022-03-01 01:00:07 UTC
169465,Wildfires may slow recovery of ozone layer - study,Smoke from Australian wildfires affects the layer that shields the Earth from harmful UV rays.,2022-03-01 01:08:55 UTC,https://www.bbc.co.uk/news/science-environment-60563378?at_medium=RSS&at_campaign=KARANGA,2022-03-01 02:00:08 UTC
169467,Ukraine: Boris Johnson calls for pressure on Russia ahead of Europe trip,"Vladimir Putin will ""feel the consequences"" of invading Ukraine, the PM says, as he heads to Poland and Estonia.",2022-03-01 03:07:42 UTC,https://www.bbc.co.uk/news/uk-60565392?at_medium=RSS&at_campaign=KARANGA,2022-03-01 04:00:07 UTC
169497,Ukraine: 'How much longer until this is over?',Burning buildings and cars destroyed in Donetsk after the separatist-controlled city is shelled.,2022-03-01 04:35:06 UTC,https://www.bbc.co.uk/news/world-europe-60565971?at_medium=RSS&at_campaign=KARANGA,2022-03-01 13:00:10 UTC
169469,"Ukraine conflict: Disney, Warner, Sony halt release of films in Russia",The moves come as major corporations cut business links with Russia after its invasion of Ukraine.,2022-03-01 04:43:58 UTC,https://www.bbc.co.uk/news/business-60566286?at_medium=RSS&at_campaign=KARANGA,2022-03-01 06:00:06 UTC
169474,Ukraine to sell 'war bonds' to fund armed forces,The war-torn country moved to reassure international investors that it will not default on its debt.,2022-03-01 05:47:29 UTC,https://www.bbc.co.uk/news/business-60566776?at_medium=RSS&at_campaign=KARANGA,2022-03-01 08:00:07 UTC
169471,Can non-leaguers spring a shock? What to look out for in FA Cup fifth round,The FA Cup fifth round could throw up several shocks and you can follow all the action on the BBC.,2022-03-01 06:28:33 UTC,https://www.bbc.co.uk/sport/football/60514628?at_medium=RSS&at_campaign=KARANGA,2022-03-01 07:00:08 UTC
169476,"Fight Talk: Josh Taylor, Jack Catterall, Lawrence Okolie, Andre Ward and Gennady Golovkin","Josh Taylor's controversial win over Jack Catterall, Lawrence Okolie defends world title in unentertaining fashion and two boxing legends get involved in a Twitter spat - it's Fight Talk.",2022-03-01 06:39:45 UTC,https://www.bbc.co.uk/sport/boxing/60549535?at_medium=RSS&at_campaign=KARANGA,2022-03-01 08:00:08 UTC
169505,Should Taylor offer Catterall a rematch after controversial win? ,"Josh Taylor's controversial win over Jack Catterall, Lawrence Okolie defends world title in unentertaining fashion and two boxing legends get involved in a Twitter spat - it's Fight Talk.",2022-03-01 06:39:45 UTC,https://www.bbc.co.uk/sport/boxing/60549535?at_medium=RSS&at_campaign=KARANGA,2022-03-01 14:00:09 UTC
